title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/44316301'>i don't wanna keep secrets just to keep you</a>,badartndadjokes,Updated,612,574,38,7542,Explicit,15195,2,2023-01-23,"taylor swift au, inspired by public enemy number ones smau, not fully a tswift au but does borrow song names, Mutual Pining, Secret Relationship, Alternate Universe - Celebrity, musician!beatrice, celebrity!ava, no longer mild smut we're all sinners here"
<a href='https://archiveofourown.org/works/43167894'>I'll be the match to your candle</a>,moxiemorton,Updated,572,492,80,3822,General Audiences,12155,4,2022-12-12,"Pre-Season/Series 02, One Shot, I wish to never write for a major ship again, this gave me anxiety to post, oh my god i wrote another one, Someone sedate me, i can't stop thinking about them, also apparently my brain only operates in:, Songfic, so these are based off of songs I personally deem THEM"
<a href='https://archiveofourown.org/works/43258516'>where our father used to sit</a>,coldmackerel,Updated,570,466,104,6258,Mature,18295,3,2022-12-18,"gentle blasphemy, mostly accidental voyeurism, mysterious illness and associated angst, i have decided in my head how s3 goes and am proceeding directly to s4, this will be coherent or i will blame someone else"
<a href='https://archiveofourown.org/works/43396362'>Dirty Secret</a>,BadassBea,Updated,562,525,37,13905,Explicit,9936,2,2022-12-07,"Angst, Drama, Drama & Romance, Smut, Enemies to Lovers, Secret Relationship, Romance, Slow Burn"
<a href='https://archiveofourown.org/works/43332222'>Ava Silva Has a Crush</a>,sxpph1c,Updated,552,523,29,6331,Teen And Up Audiences,8624,4,2022-12-08,"Gay Mess Sister Beatrice (Warrior Nun), Ava Silva Being Ava Silva, Strangers to Lovers, Alternate Universe - No Powers"
<a href='https://archiveofourown.org/works/43651530'>The four times Beatrice broke her vows (and the one time she didn't)</a>,Spayne,Updated,549,474,75,4592,Mature,7730,3,2022-12-27,"forgive the title for sounding much smuttier than this will be, this is more..the tantalising thrill of an accidental brush of hands, thats where im pitching, Pining, Yearning, other adjectives for when queer people hold eye contact for more that 3 seconds, a silly bit of nonsense for a fandom that feels like it needs it"
<a href='https://archiveofourown.org/works/43427754'>Stand Still</a>,unhurriedpotato,Updated,522,484,38,7744,Mature,18855,4,2023-01-27,"Catholic Guilt, Ava Silva Needs a Hug, Post-Traumatic Stress Disorder - PTSD, Hurt/Comfort, Gay Mess Sister Beatrice (Warrior Nun), Humor, Alternate Universe - Office, Gay Mess Ava Silva, they're both useless your honor, art curator beatrice, pr consultant ava, Sexual Tension, Smut"
<a href='https://archiveofourown.org/works/43585392'>My girl</a>,Felixyall45,Updated,510,467,43,10389,Mature,15298,11,2023-02-14,"protective beatrice mode, ava is a golden retriever, hans and camila run the ship, Fluff, cuteness, im depressed and need this gays to be happy, #SaveWarriorNun, camila is non binary cos i said so, talk to the wall, stupid gays, the 4 gays of the OCS"
<a href='https://archiveofourown.org/works/43741354'>turning page</a>,sxftmelody,Updated,506,464,42,5463,Mature,15395,1,2022-12-21,"Alternate Universe, princess ava and mercenary beatrice"
<a href='https://archiveofourown.org/works/43077729'>This Is The Next</a>,firecrackerroot,Updated,504,443,61,8845,Teen And Up Audiences,15563,9,2022-11-25,"starts right after the end of s02, all that is left unsaid will be revealed at a later time, just follow along"
<a href='https://archiveofourown.org/works/43847344'>i'm finding it hard to pass time (without you)</a>,damniamgay,Updated,498,422,76,6649,Teen And Up Audiences,19598,4,2023-02-10,"Alternate Universe - College/University, Football, they all go to university in england cause i do and cause i said so, Fluff, beatrice is down bad, lilith is just here to make fun of bea, camila is the number one shipper, something fruity is happening between lilith and camila"
<a href='https://archiveofourown.org/works/42758181'>Sinful Thoughts</a>,ChocolateCookieCream,Updated,468,448,20,17756,Explicit,9160,3,2023-02-13,"Lesbian Sex, Smut, Shameless Smut, Imagination, Dream Sex, Intersex, Girl Penis, Daydreaming, Large Cock, Blow Jobs, Deepthroating, Breast Fucking, Come Swallowing, Vaginal Sex, Doggy Style, Creampie, Ava Silva Being Ava Silva, POV Sister Beatrice (Warrior Nun), Masturbation in Shower, Showers, Accidental Voyeurism"
<a href='https://archiveofourown.org/works/44264536'>did you fall from heaven or down the stairs?</a>,execomet,Updated,467,425,42,6194,Teen And Up Audiences,19914,5,2023-02-15,"Alternate Universe - College/University, University, Bisexual Ava Silva, Student Ava Silva, Student Beatrice, Soft Sister Beatrice/Ava Silva, Gay Mess Sister Beatrice (Warrior Nun), Repressed Sister Beatrice (Warrior Nun), Soft Ava Silva, Gay Mess Ava Silva, Ava Silva Needs a Hug, Ava Silva Being a Dumbass, she might get a degree but she's not getting any braincells, Adorable Ava Silva, Ava Silva Being Ava Silva, Jealous Sister Beatrice (Warrior Nun), Badass Sister Beatrice (Warrior Nun), Cute, Fluff and Angst, Angst with a Happy Ending, Light Angst, Domestic Fluff, Fluff and Humor, Fluff and Crack, Fluff and Hurt/Comfort, Hurt/Comfort, Mild Hurt/Comfort, Comfort, Soulmates, Soulmate AU, Romantic Soulmates, Ava has ADHD, she's so me, Jillian and Suzanne are Ava's mums because I said so"
<a href='https://archiveofourown.org/works/43842091'>at the head of all ruin</a>,that_one_urchin,Updated,463,430,33,2471,Explicit,4337,1,2023-01-08,"Alternate Universe - Rock Band, Sexual Tension, in which ava's flirting causes her to narrowly dodge a restraining order, but in a hot way, Drummer Ava Silva, oh and they do be fuckin"
<a href='https://archiveofourown.org/works/43248726'>you drive me crazy (its a beautiful ride)</a>,pinkfingernails,Updated,458,391,67,6153,Not Rated,14138,5,2022-12-06,"Alternate Universe - Boarding School, Enemies to Lovers, Academic Rivals to Lovers, Light Angst, Making Out, Sneaking Around, bea is down bad, and a useless lesbian"
"<a href='https://archiveofourown.org/works/43597087'>lead me home, with all your heart</a>",KelseyO,Updated,457,370,87,2881,Teen And Up Audiences,9049,2,2022-12-15,"Alternate Ending, season 2 episode 8, the way misses baptista and tonteri young strangled me with their bare hands, the thirty-ish times kelsey and alexis thought avatrice was gonna kiss, and the one (1) time they finally did, have you ever been so violently bitch-slapped by a song choice, reader. i have Not, anyways i wasn't gonna write any S2 fic and here we are thousands of words later, The Heart Wants What It Wants, and mine decided it wanted to make a bunch of shit up, truly hope you enjoy your stay here, Serious Injuries, Back Pain, Injury Recovery, Hurt/Comfort, Emotional Hurt/Comfort, Angst, Nightmares, Post-Traumatic Stress Disorder - PTSD, Angst with a Happy Ending, wow FUCK YOU TOO NETFLIX, autistic Jillian Salvius, everybody mind your business, this author is not losing control there will be but ONE MORE CHAPTER"
<a href='https://archiveofourown.org/works/43442239'>oxygen's overrated</a>,burningblade,Updated,456,417,39,5077,Mature,8056,5,2023-02-13,"Alternate Universe - Hospital, Greys anatomy au, Unbeta-ed we die like Michael, Domestic Fluff, Alternate Universe - No Powers"
<a href='https://archiveofourown.org/works/44123172'>There's Always More</a>,ThornedRose44,Updated,451,415,36,2376,Mature,8155,1,2023-01-08,"Hurt/Comfort, Fluff and Angst, Angst with a Happy Ending, I'm going to give you so much joy just to take it away and patch work it back together, oblivious Ava, Beatrice fulfilling all those romantic tropes"
<a href='https://archiveofourown.org/works/43544760'>Blind Spot</a>,GleeCastOST,Updated,450,364,86,4425,Mature,19051,8,2023-02-01,"Angst, Crack, Humour, More angst, mafia, friends to lovers?, Crime, ava is clueless"
<a href='https://archiveofourown.org/works/43552438'>1 corinthians 13:4</a>,badartndadjokes,Updated,435,421,14,2118,General Audiences,2054,1,2022-12-11,Post-Season 2
<a href='https://archiveofourown.org/works/43601908'>my heart beats hot and feverish</a>,polishollis,Updated,429,389,40,5619,Mature,11627,3,2022-12-22,"Alternate Universe - College/University, Mutual Pining, they are really intense, Ava loves forearms, Roommates"
<a href='https://archiveofourown.org/works/43762521'>Make me love you</a>,hcbtaenyc,Updated,426,407,19,4509,Explicit,6447,2,2022-12-30,"Emotional, Repressed Sister Beatrice (Warrior Nun), Smut"
<a href='https://archiveofourown.org/works/44057275'>phoneline confessionals</a>,unicyclehippo,Updated,416,373,43,2032,Teen And Up Audiences,7590,2,2023-01-04,"this fic is about ava getting to be upset n angry n talk to someone about it, about guidance n care n where that comes from & how it develops, it's also about ava being extremely bisexual, So thats fun"
<a href='https://archiveofourown.org/works/43854441'>mighty waters cannot quench love</a>,TheseTornadoesAreForYou,Updated,411,358,53,3722,Teen And Up Audiences,9013,3,2023-01-04,"Hurt/Comfort, Established Relationship"
<a href='https://archiveofourown.org/works/43604898'>waiting on the morning sun</a>,clnbd,Updated,395,319,76,2824,Explicit,9296,2,2022-12-20,"middle fingers up at netflix everybody, Ava Comes Back Wrong, the author went to catholic school and it Shows, the author spent her formative years betaing Stucky fanfiction and it Shows"
<a href='https://archiveofourown.org/works/43890088'>crossed (out of) my mind</a>,youngowl,Updated,393,371,22,3486,Teen And Up Audiences,10017,2,2023-01-21,"Alternate Universe - College/University, Fluff, Recreational Drug Use, Softball, Swearing, Will update tags, Humor, Fluff and Humor, Mutual Pining, weed fic au, Sexual Content, Eventual Smut"
<a href='https://archiveofourown.org/works/43701256'>You've got a roommate in me</a>,meg_1287,Updated,389,367,22,5544,Teen And Up Audiences,11108,3,2023-01-11,"Alternate Universe, Alternate Universe - Roommates/Housemates, Roommates, Alps, Beatrice needs a roommate, Ava is new in the Alps, Flirting, Kissing, Eventual Smut, Romance, No OCs, Sexual Tension, Cute, Beatrice is a former nun, Ava grew up in an orphanage, they are in love your honor"
<a href='https://archiveofourown.org/works/42978558'>You Can Teach Me How To Dance</a>,HaylBal,Updated,387,366,21,5203,Mature,10994,3,2022-11-20,"Fluff and Angst, Like a fucking lot of angst, Implied/Referenced Homophobia, Hallway Fights, Bonding, World Travel, Crying, Psychological Horror, An Idea For Season 3, Lovecraftian, Slow Burn"
"<a href='https://archiveofourown.org/works/28485243'>The Ocean, The World, The Universe</a>",DangersUntoldHardshipsUnnumbered,Updated,385,322,63,2401,Teen And Up Audiences,7743,4,2023-01-22,AU
<a href='https://archiveofourown.org/works/44647669'>Jealousy</a>,TheVigilanteWriter,Updated,375,357,18,5894,Explicit,14839,4,2023-02-17,"Gay Mess Ava Silva, Canon Universe, Ava Silva Being Ava Silva, Eventual Smut, Slow Burn, Angst, Badass Sister Beatrice (Warrior Nun), Original Character(s), Desire"
<a href='https://archiveofourown.org/works/43309971'>the game we play</a>,analogoose,Updated,373,351,22,2686,Teen And Up Audiences,4692,1,2022-11-28,"Pre-Season/Series 02, Domestic Fluff, avatrice living their lives together, 2 months of domestic bliss in the alps, slice of life fic, a love story of the soft focus kind, hope this fic feels like a hug, ft. melancholic conversation, spaghetti burritos, throat punching, Driving Lessons"
<a href='https://archiveofourown.org/works/43151524'>every beat of your heart (is one less i've got)</a>,totheflame,Updated,371,355,16,4184,Teen And Up Audiences,4292,1,2022-11-19,"Beatrice POV, Season 2, Missing Scenes, season two but like the new game plus version, each chapter is an episode, Pining, Angst, the goods"
<a href='https://archiveofourown.org/works/44402440'>count me in (my heart's offbeat)</a>,LordBuckwheat,Updated,363,321,42,5824,Explicit,16512,5,2023-02-09,"Alternate Universe - Rock Band, Hook-Up, dating apps, we don't do eventual smut in this house, but there will eventually be a plot, just enough to facilitate more smut, probably, Cunnilingus, Vaginal Fingering, beatrice is emotionally unavailable, bea plays bass, camila plays drums, lilith plays guitar, no beta we die like duretti, Edging, they flip flop your honor, strap ons, how many puns can i make, fair bit of fluff, Teensy Bit of Angst, great deal of smut"
<a href='https://archiveofourown.org/works/44077266'>this is my prayer (I'm in love with you)</a>,nyxtyka,Updated,361,311,50,4468,General Audiences,19333,4,2023-02-08,"My Best Friend's Wedding AU, Jealous Ava, protective beatrice, ava is an idiot in love, Happy Ending, Fluff and Angst, Light Angst, they are also spies, bea is also an idiot but a damn attractive one, they work for MI6, arranged marriage (kinda?), Angst with a Happy Ending"
<a href='https://archiveofourown.org/works/43121148'>In the Dark We Wake</a>,Jude81,Updated,346,307,39,6598,Explicit,10223,3,2023-02-06,"Fluff, Sex, Angst, ass kicking, maybe ass licking, possibly idiots falling in love, Will Add More Later"
"<a href='https://archiveofourown.org/works/42997227'>can you feel me longing for you, forever?</a>",GleeCastOST,Updated,346,314,32,3741,Mature,10217,5,2022-12-23,"Angst, ANGST!!, but happy ending, some fluff maybe idk, No one reads the tags"
<a href='https://archiveofourown.org/works/43452303'>I don't ever think I can ever learn how to love you right</a>,SapphicSnow,Updated,346,310,36,3240,Mature,14586,3,2022-12-19,"Summer Romance, Bartender AU, They're so oblivious and gay, lots of flirting, kinda slow burn, Mutual Pining, past trauma, it's like they both try to find every excuse possible that the other one isn't into them, probably will get spicy eventually, they're both gay disasters, and i do respect them for that, but damn will it be obvious in this, Found Family, Miscommunication"
<a href='https://archiveofourown.org/works/43959180'>am i too late for a miracle?</a>,memorysdaughter,Updated,339,309,30,2478,General Audiences,6209,2,2023-01-14,"Christmas Miracles, Ava comes back broken, Soft Sister Lilith (Warrior Nun), Miracles, Medical Procedures, Medical Trauma, the Halo is sentient... ish, Kissing, Religious Imagery & Symbolism, Crisis of Faith, Intubation, Ventilator, intended as a one-shot but could definitely be continued, Ambiguous/Open Ending"
"<a href='https://archiveofourown.org/works/44845402'>I Don't Want Your Boyfriend to Watch, I Want You</a>",Silverius23,Updated,332,276,56,2643,Mature,3721,2,2023-02-09,"Kissing, Cheating, Carried Away, Explicit Consent, Guilt, Sexuality Crisis, sexuality exploration, Other Additional Tags to Be Added, Body Shots, Party, Drug Use, Alcohol, Coming Out"
<a href='https://archiveofourown.org/works/43041648'>Have I found you?</a>,iwouldntsurviveahorrormovie,Updated,330,280,50,3759,Mature,11147,6,2022-11-20,"Fluff, Attempt at Humor, Light Angst, Hurt/Comfort, Eventual Smut, Romance, My First Fanfic, Post-Canon Fix-It"
<a href='https://archiveofourown.org/works/43503313'>in our corner of the world</a>,definitelynothere,Updated,326,293,33,1834,Not Rated,10927,1,2022-12-08,"Alternate Universe - Roommates/Housemates, Alternate Universe - College/University, Mutual Pining, and they were ROOMMATES, oh my god they were roommates, Internalized Homophobia, ava's down bad"
<a href='https://archiveofourown.org/works/44440090'>Ruth 1:16-17</a>,TheSapphicAgenda,Updated,319,297,22,4724,Explicit,9176,2,2023-01-25,"Ava is back, bea is living her life, they reunite and have a lot of feelings and sex, Smut, Fluff and Smut, angst is resolved, bea continues on her journey of overcoming her internalized homophobia, Camila continues to be the captain of this ship, cat's cradle, ava has scars now, but chicks dig scars, Post Season 2, Tenderness, Comfort, Comfort Sex"
<a href='https://archiveofourown.org/works/43985200'>Scandals in Politics</a>,Silverius23,Updated,319,298,21,4672,Explicit,11562,1,2023-01-01,"Kid Fic, Unplanned Pregnancy, One Night Stands, Girl Penis, Blow Jobs, Smut, Fluff, safe sex, Cunnilingus, Ava does not trust someone who seems like they would be a bad bartender, Bartender Ava Silva"
<a href='https://archiveofourown.org/works/43725903'>What's One More</a>,Miatonks,Updated,311,273,38,5259,Mature,17427,7,2023-02-01,"Slow Burn, Fluff, Cats, foster pets, Cute, Sad with a Happy Ending"
<a href='https://archiveofourown.org/works/43312972'>philippians 1:3</a>,potstickermaster,Updated,297,270,27,2295,Teen And Up Audiences,5786,5,2022-12-08,"Drabble Collection, assorted variety please check prompt/summary before reading etc etc, but probably, Fluff and Angst, Sprinkled here and there"
<a href='https://archiveofourown.org/works/44501914'>Wait In The Truck (Just Pick Me Up)</a>,SisterLesbisch,Updated,296,259,37,3242,Explicit,10251,3,2023-02-07,NA
<a href='https://archiveofourown.org/works/43536454'>A Love for Fighting Encounters</a>,Tyrrandia,Updated,296,256,40,2980,Mature,13251,3,2023-02-12,"Slow Burn, Alternate Universe, Angry Ava, Soft beatrice, Everything is Beautiful and Everything Hurts, Eventual Smut, Porn With Plot, Porn with Feelings, Netflix Please Renew S3, Fluff and Angst, Idiots in Love, lots of gay pining, and gay panic"
<a href='https://archiveofourown.org/works/44929228'>Let Me Know You're Mine</a>,Silverius23,Updated,287,269,18,4234,Explicit,8970,2,2023-02-17,"Smut, Belts, Face Slapping, Strap-Ons, Spit Kink, Jealousy, Whipping, College, Name-Calling, Fluff, Fluff and Smut, Other Additional Tags to Be Added, Making Love, promise rings, Cunnilingus, Vaginal Fingering"
"<a href='https://archiveofourown.org/works/43372855'>never did hear the voice of god, only that of my love</a>",unicyclehippo,Updated,276,242,34,1449,Explicit,2370,1,2022-12-02,"also known as the earpiece fic for reasons that will become obvious Extremely quickly, Minor Injuries, blood pain paralysis, but only for a little bit, she gets better"
<a href='https://archiveofourown.org/works/44453257'>Recondite</a>,Wanderings_of_wonderings,Updated,274,239,35,3042,General Audiences,15970,7,2023-02-03,"Soft Ava Silva, Bisexual Ava Silva, Gay Mess Ava Silva, Gay Mess Sister Beatrice (Warrior Nun), Soft Sister Beatrice/Ava Silva, Jealous Sister Beatrice (Warrior Nun), POV Multiple, academia au, Sister Camila Ships It (Warrior Nun), Adorable Sister Camila (Warrior Nun), Background Sister Camila/Sister Lilith (Warrior Nun), Soft Sister Lilith (Warrior Nun), Sister Lilith Deserves Love (Warrior Nun), jc is only in this because I needed another POV, Background Shotgun Mary/Shannon Masters, Ava and Hans get into shenanigans, Character Death, Alternate Universe - High School, Alternate Universe - Academia, Ava Silva Needs a Hug, Ava Silva Being a Dumbass, Sad Ava Silva, Ava Silva Being Ava Silva, Adorable Ava Silva, Jealous Ava Silva, I Made Myself Cry, Academic Rivals to Lovers, Enemies to Lovers, okay maybe the enemies is just on Bea's side but still, ava and Hans break at least three laws over the course of this book, Angst with a Happy Ending, Angst"
<a href='https://archiveofourown.org/works/44663968'>hebrews 1:14</a>,[],Updated,274,221,53,1554,Mature,7224,3,2023-02-13,"Alternate Universe, Alternate Universe - Canon Divergence, Alternate Universe - Guardian Angels, Ava Silva is not the Warrior Nun, Angel Ava Silva, Guardian Angel Ava Silva, Angst, Hurt/Comfort, Emotional Hurt/Comfort, Fluff and Humor, Angel Wings, Winged Ava Silva, (yes bea has a wing kink but it takes her a while to realise shhh), Flirting, Sister Beatrice Needs a Hug (Warrior Nun), Bisexual Mess Ava Silva, Repressed Sister Beatrice (Warrior Nun), avatrice angel au"
<a href='https://archiveofourown.org/works/44355781'>Sweet Dreams and Sticky Floors</a>,CappyJ_13,Updated,271,253,18,4509,Teen And Up Audiences,17899,7,2023-02-13,"Band Fic, Alternate Universe - Rock Band, Fluff"
<a href='https://archiveofourown.org/works/43900287'>Your vows (In sickness and in health)</a>,LongWindedAnswer,Updated,267,228,39,2526,Explicit,8295,2,2023-01-02,"Hurt/Comfort, Alternate Universe - Soulmates, Slow Build, Angst with a Happy Ending, Fated Destinies, Smut, BDSM???, World Travel, Heavy Angst, Beatrice has tattoos, POV Second Person"
<a href='https://archiveofourown.org/works/43750141'>In this life</a>,rollingaround,Updated,265,257,8,4955,General Audiences,17362,9,2022-12-29,"slight mention of domestic violence, Slow Burn, or maybe not?, Fluff, heart fluttering I hope..., here for the ride, AU"
<a href='https://archiveofourown.org/works/43958007'>Kick Some Catholic Ass</a>,UnholyHelbig,Updated,263,243,20,3137,Not Rated,6290,3,2023-01-11,"Family Reunions, Family Drama, Family Issues, Fluff, Fluff and Angst, Road Trips, Beatrice is too competative, Ava is Soft, and also clueless"
<a href='https://archiveofourown.org/works/44019345'>the tragedy of a cowgirl's blues</a>,maggiemerc,Updated,262,213,49,2123,Not Rated,14024,3,2023-01-18,"Slow Burn, yee haw AU, look its been a while, and i said what if they rode horses and wore lil hats"
"<a href='https://archiveofourown.org/works/43220541'>if I only have one life, I'd like to spend it with you</a>",spacemanearthgirl,Updated,258,246,12,1291,General Audiences,895,2,2022-12-03,"Avatrice, Fluff, Just cute little scenes that I don't want to post as separate fics"
<a href='https://archiveofourown.org/works/44094057'>change your mind</a>,burningblade,Updated,257,243,14,4312,Explicit,12540,5,2023-01-16,"Alternate Universe - College/University, Slow Burn, the RA au, rugby beatrice, soccer ava, Hurt/Comfort"
<a href='https://archiveofourown.org/works/43035570'>Set Your Hearts on Things Above</a>,shamrock,Updated,255,227,28,2133,General Audiences,5248,3,2022-11-23,"dubious theological references, Overuse of run-on sentences, liberal doses of angst"
<a href='https://archiveofourown.org/works/43115103'>Light of My Realm</a>,Rebelguitargirl2015,Updated,252,231,21,3387,Explicit,11355,2,2022-12-06,"Badass! Beatrice, Camp Counselor! Beatrice, Camp AU, Alternate Universe - Modern Setting, Beatrice is a smol cinnamon roll, Bear with Ava, She's totally in love with Beatrice, Smut, Falling In Love, Loss of Virginity, They are totally gay for each other, Sexual Tension, Mutual Pining, Oral Sex, Alcohol Abuse/Alcoholism"
<a href='https://archiveofourown.org/works/44415343'>She Calls Me Back</a>,riderwrites,Updated,247,231,16,2463,Mature,15817,2,2023-01-29,"Angst, Humor, s1 ava meets s2 beatrice kind of vibes, kinda slow burn??? if you squint, Suggestive Themes"
"<a href='https://archiveofourown.org/works/43431564'>when my heart beat stops, will you stay mine?</a>",purplecake,Updated,245,240,5,1355,Mature,9251,1,2022-12-05,"Angst, Reunions, Alternate Universe - Canon Divergence, im a sucker for self-sacrifical beatrice, Someone stop me, noone can breathe properly apparently, implied Mother Superion/Jillian Salvius because i can, Beatrice and Michael are pals"
"<a href='https://archiveofourown.org/works/44241985'>honey, cast me a line</a>",afire,Updated,241,205,36,2288,Teen And Up Audiences,8874,2,2023-01-27,"pacrim au, if you will be so kind as to allow me the creative freedom of pseudoscience"
<a href='https://archiveofourown.org/works/43110300'>An Emotional Connection</a>,sgafirenity,Updated,237,225,12,2537,Teen And Up Audiences,9604,2,2022-12-03,"Alternate Universe - Canon Divergence, Runs off Season 2 Finale, Romance, Friendship, Fluff and Angst, Fluff and Humor, Mild Language, some violence, Hurt/Comfort"
